"make","model","year"
"Suzuki","SV650",2009
"Kawasaki","Vulcan 900 Classic",2008
"Honda","CB 1300 S",2008
"Kawasaki","KLF300 4x4",2009
"Honda","CBR600RR",2009
"Honda","CRF450X",2009
"Honda","SH 300i Sporty",2008
"Kawasaki","Vulcan 900 Classic",2009
"Kawasaki","KLF250",2009
"Suzuki","B-King ABS",2008
"Honda","NT700V Deauville",2009
"Kawasaki","KX 250 F Monster Energy",2009
"Honda","NT700V Deauville",2008
"Honda","XR 250 Tornado",2008
"Kawasaki","KLX 450 R",2009
"Kawasaki","KX 85 Monster Energy",2009
"Suzuki","QuadSport Z50 Special Edition",2009
"Honda","Forza EX",2009
"Honda","Forza EX",2008
"Suzuki","GSR600",2009
"Suzuki","SV650 ABS",2008
"Suzuki","GSX650F",2009
"Kawasaki","Z750 ABS",2008
"Honda","CRF150R2",2009
"Honda","ANF125i Innova",2008
"Honda","ANF125i Innova",2009
"Suzuki","GSX650F",2008
"Ducati","SportClassic Sport 1000 Biposto",2008
"Honda","Shadow Spirit 750",2008
"Suzuki","Intruder M1800R",2009
"Suzuki","Boulevard C109RT",2008
"Kawasaki","KVF 360 4x4",2009
"Suzuki","Boulevard C109RT",2009
"Honda","Shadow Spirit 750",2009
"Kawasaki","VN1700 Classic",2009
"Kawasaki","VN900 Classic",2009
"Honda","TRX450R Kick Start",2009
"Honda","CRF 50 F",2008
"Kawasaki","KFX 700",2009
"Honda","CRF150F",2009
"Kawasaki","KLX 110 Monster Energy",2009
"Honda","Interceptor ABS",2009
"Kawasaki","Vulcan 1700 Classic",2009
"Honda","FourTrax Rincon GPScape",2009
"Honda","Metropolitan",2009
"Suzuki","GSX-R750",2009
"Honda","FourTrax Recon",2009
"Suzuki","GSX-R750",2008
"Suzuki","V-Strom 650GT",2009
"Honda","Metropolitan",2008
"Honda","VFR 800 Interceptor",2008
"Ducati","Hypermotard 1100 S",2008
"Honda","Silver Wing",2009
"Kawasaki","Vulcan 2000 Classic LT",2008
"Kawasaki","Vulcan 2000 Classic LT",2009
"Kawasaki","Vulcan 1700 Voyager",2009
"Kawasaki","Bayou 250",2009
"Honda","Silver Wing",2008
"Kawasaki","Brute Force 650 4x4",2009
"Suzuki","KingQuad 750AXi",2009
"Honda","DN-01",2008
"Honda","CRF 250 X",2008
"Honda","CRF80F",2009
"Honda","DN-01",2009
"Kawasaki","KLR650",2009
"Kawasaki","KX85",2009
"Kawasaki","Z750",2008
"Suzuki","Boulevard C90T",2008
"Suzuki","Boulevard C90",2009
"Suzuki","Bandit 1250",2008
"Suzuki","Boulevard M50",2009
"Suzuki","Boulevard M50",2008
"Suzuki","Boulevard C90",2008
"Honda","CBR600RR ABS",2009
"Honda","VTX1300T Touring",2008
"Kawasaki","KX85",2008
"Kawasaki","Z750",2009
"Suzuki","Boulevard C90T",2009
"Suzuki","RM85",2009
"Kawasaki","Brute Force 750 NRA Outdoors",2009
"Kawasaki","Z1000",2008
"Ducati","Hypermotard 1100",2008
"Kawasaki","Vulcan 2000",2009
"Honda","CBR 125R",2008
"Kawasaki","Ninja ZX-14",2008
"Kawasaki","Ninja ZX-14",2009
"Ducati","Hypermotard 1100",2009
"Kawasaki","Vulcan 2000",2008
"Kawasaki","Z1000",2009
"Suzuki","RM85",2008
"Honda","PS 150i Sport",2008
"Honda","CBF1000",2009
"Ducati","SportClassic GT 1000",2009
"Ducati","SportClassic GT 1000",2008
"Honda","PS150i",2009
"Honda","VFR800",2009
"Suzuki","KingQuad 750AXi Rockstar",2009
"Kawasaki","Vulcan 1700 Nomad",2009
"Honda","Ruckus",2008
"Suzuki","QuadSport Z90",2009
"Suzuki","QuadSport Z50",2009
"Honda","TRX700XX",2009
"Honda","CRF250X",2009
"Honda","CRF 150 F",2008
"Suzuki","GSX-R600 Bruce Anstey",2009
"Honda","Ruckus",2009
"Honda","VTX1300T",2009
"Kawasaki","KFX450R Monster Energy",2009
"Suzuki","Djebel 250XC",2008
"Kawasaki","Concours 14 ABS",2008
"Kawasaki","KLX110",2009
"Honda","XL1000V Varadero",2009
"Honda","Rebel",2009
"Suzuki","DR-Z125",2009
"Suzuki","DR-Z125",2008
"Honda","XL1000V Varadero",2008
"Honda","Rebel",2008
"Kawasaki","KLX110",2008
"Kawasaki","Concours 14 ABS",2009
"Suzuki","Boulevard 400",2008
"Suzuki","Burgman 125",2009
"Honda","Gold Wing Audio Comfort Navi ABS",2008
"Suzuki","KingQuad 450AXi 4x4 Camo",2009
"Kawasaki","VN1700 Classic Tourer",2009
"Honda","VTX1300R",2009
"Suzuki","Boulevard C50 Black",2008
"Kawasaki","KLX140",2008
"Kawasaki","Prairie 360 4x4",2009
"Suzuki","QuadSport Z90 Special Edition",2009
"Suzuki","Boulevard M109R2",2009
"Suzuki","DR-Z400S",2008
"Honda","CBR 600 RR HANNspree Ten Kate Replica",2008
"Suzuki","ST 250 Etype",2008
"Honda","TRX300X",2009
"Suzuki","RM85L",2008
"Suzuki","DR-Z400S",2009
"Suzuki","Boulevard M109R2",2008
"Suzuki","Impulse 400",2008
"Honda","CRF150F Expert",2009
"Kawasaki","KLF300",2009
"Suzuki","Bandit 650",2009
"Suzuki","DR-125SM",2009
"Ducati","Hypermotard 1100S",2009
"Honda","CB 600 F Hornet",2008
"Ducati","SportClassic GT1000 Touring",2009
"Kawasaki","Ninja 250R",2008
"Kawasaki","Ninja 250R",2009
"Suzuki","Boulevard C50T",2008
"Honda","VTX1300C Classic",2008
"Suzuki","QuadRacer R450",2009
"Ducati","Monster 1100S",2009
"Honda","VT 750 C Shadow",2008
"Suzuki","KingQuad 400AS",2009
"Honda","CRF 100 F",2008
"Honda","FourTrax Foreman 4x4",2009
"Honda","Gold Wing Premium Audio",2008
"Kawasaki","1400 GTR",2009
"Suzuki","Boulevard C50 Limited Edition",2008
"Suzuki","Burgman 200",2009
"Honda","Zoomer",2009
"Kawasaki","Ninja 650R",2009
"Honda","SW-T400",2009
"Suzuki","Boulevard C109R",2008
"Suzuki","GSR 400",2008
"Kawasaki","VN900 Custom",2009
"Kawasaki","KX450F",2008
"Suzuki","Boulevard S50",2008
"Honda","CBF600S",2008
"Ducati","Multistrada 1100",2008
"Kawasaki","Brute Force 650 4x4i Camo",2009
"Honda","Shadow Spirit 750 (VT750C2)",2008
"Kawasaki","Concours 14",2009
"Kawasaki","Vulcan 1600 Nomad",2008
"Kawasaki","KLX 250 SF",2009
"Suzuki","RM-Z250",2009
"Suzuki","GS500F",2009
"Kawasaki","Ninja ZX-6R",2009
